fare_id,price,currency_type,payment_method,transfers,transfer_duration,agency_id
fare_10.00,10.00,INR,0,,0,1
fare_105.00,105.00,INR,0,,0,1
fare_11.00,11.00,INR,0,,0,1
fare_12.00,12.00,INR,0,,0,1
fare_120.00,120.00,INR,0,,0,1
fare_130.00,130.00,INR,0,,0,1
fare_145.00,145.00,INR,0,,0,1
fare_15.00,15.00,INR,0,,0,1
fare_155.00,155.00,INR,0,,0,1
fare_16.00,16.00,INR,0,,0,1
fare_160.00,160.00,INR,0,,0,1
fare_17.00,17.00,INR,0,,0,1
fare_170.00,170.00,INR,0,,0,1
fare_18.00,18.00,INR,0,,0,1
fare_185.00,185.00,INR,0,,0,1
fare_20.00,20.00,INR,0,,0,1
fare_21.00,21.00,INR,0,,0,1
fare_210.00,210.00,INR,0,,0,1
fare_22.00,22.00,INR,0,,0,1
fare_220.00,220.00,INR,0,,0,1
fare_23.00,23.00,INR,0,,0,1
fare_235.00,235.00,INR,0,,0,1
fare_24.00,24.00,INR,0,,0,1
fare_245.00,245.00,INR,0,,0,1
fare_25.00,25.00,INR,0,,0,1
fare_26.00,26.00,INR,0,,0,1
fare_260.00,260.00,INR,0,,0,1
fare_27.00,27.00,INR,0,,0,1
fare_28.00,28.00,INR,0,,0,1
fare_280.00,280.00,INR,0,,0,1
fare_29.00,29.00,INR,0,,0,1
fare_290.00,290.00,INR,0,,0,1
fare_30.00,30.00,INR,0,,0,1
fare_305.00,305.00,INR,0,,0,1
fare_31.00,31.00,INR,0,,0,1
fare_315.00,315.00,INR,0,,0,1
fare_32.00,32.00,INR,0,,0,1
fare_33.00,33.00,INR,0,,0,1
fare_34.00,34.00,INR,0,,0,1
fare_35.00,35.00,INR,0,,0,1
fare_37.00,37.00,INR,0,,0,1
fare_38.00,38.00,INR,0,,0,1
fare_39.00,39.00,INR,0,,0,1
fare_40.00,40.00,INR,0,,0,1
fare_42.00,42.00,INR,0,,0,1
fare_43.00,43.00,INR,0,,0,1
fare_45.00,45.00,INR,0,,0,1
fare_47.00,47.00,INR,0,,0,1
fare_5.00,5.00,INR,0,,0,1
fare_50.00,50.00,INR,0,,0,1
fare_55.00,55.00,INR,0,,0,1
fare_57.00,57.00,INR,0,,0,1
fare_6.00,6.00,INR,0,,0,1
fare_60.00,60.00,INR,0,,0,1
fare_65.00,65.00,INR,0,,0,1
fare_70.00,70.00,INR,0,,0,1
fare_75.00,75.00,INR,0,,0,1
fare_80.00,80.00,INR,0,,0,1
fare_9.00,9.00,INR,0,,0,1
fare_90.00,90.00,INR,0,,0,1
