stop_name,zone_id,stop_id,stop_desc,stop_lat,stop_lon
12th Block Nagarabhavi,21629,21629,12th Block Nagarabhavi (Towards AIT College),12.96018,77.51398
12th Block Nagarabhavi,21630,21630,12th Block Nagarabhavi (Towards Nagarabhavi Circle),12.96076,77.51351
14th Main HSR Layout,20568,20568,14th Main HSR Layout (Towards Hebbala),12.91637,77.63472
18th Main Jayanagara,22890,22890,18th Main Jayanagara (Towards Jayanagara 4th Block),12.92328,77.58898
19th Main 13th Cross HSR Layout,22891,22891,19th Main 13th Cross HSR Layout (Towards Parangipalya),12.91593,77.65176
19th Main 13th Cross HSR Layout,24300,24300,19th Main 13th Cross HSR Layout (Towards Agara Junction),12.91582,77.65175
1st Main Kodichikkanahalli,29393,29393,1st Main Kodichikkanahalli (Towards Kodichikkanahalli),12.89854,77.61543
1st Main Kodichikkanahalli,35599,35599,1st Main Kodichikkanahalli (Towards Vijaya Bank Layout),12.89847,77.6155
1st Stage 3rd Block Nagarabhavi (Nayandahalli),22896,22896,1st Stage 3rd Block Nagarabhavi (Nayandahalli) (Towards Nayandahalli),12.95302,77.52026
1st Stage 3rd Block Nagarabhavi (Summanahalli),22897,22897,1st Stage 3rd Block Nagarabhavi (Summanahalli) (Towards Summanahalli),12.95286,77.52017
2nd Stage 9th Block Nagarabhavi,35595,35595,2nd Stage 9th Block Nagarabhavi (Towards 2nd Stage 9th Block Nagarabhavi),12.96864,77.51027
2nd Stage Kanteeravanagara,22907,22907,2nd Stage Kanteeravanagara (Towards 2nd Stage Kanteeravanagara),13.01505,77.53901
3rd Block Jayanagara,21446,21446,3rd Block Jayanagara (Towards South End Circle),12.9318,77.58393
3rd Block Jayanagara,21447,21447,3rd Block Jayanagara (Towards Jayanagara 4th Block),12.93349,77.58396
4th Phase Yelahanka New Town Iyengar Bakery,29407,29407,4th Phase Yelahanka New Town Iyengar Bakery (Towards Yalahanka 5th Phase),13.10426,77.57
5th Block HBR Layout,29409,29409,5th Block HBR Layout (Towards Hennur Cross),13.03585,77.63142
8th Mile Dasarahalli,20593,20593,8th Mile Dasarahalli (Towards Bagalagunte),13.04622,77.50755
8th Mile Dasarahalli,20594,20594,8th Mile Dasarahalli (Towards Jalahalli Cross),13.04541,77.50795
8th Mile Dasarahalli,35570,35570,8th Mile Dasarahalli (Towards Nelamangala),13.0451,77.50748
8th Mile Dasarahalli,35571,35571,8th Mile Dasarahalli (Towards Nelagadaranahalli),13.04547,77.50553
8th Mile Dasarahalli,35572,35572,8th Mile Dasarahalli (Towards Tumkur Road),13.04544,77.50547
8th Mile Dasarahalli,38567,38567,8th Mile Dasarahalli (Towards Dasanapura),13.04571,77.50753
8th Mile Dasarahalli Arrival,39687,39687,8th Mile Dasarahalli Arrival (Towards Hesaraghatta),13.04556,77.50726
A G Export Garments Nelamangala,29453,29453,A G Export Garments Nelamangala (Towards Madhure),13.12046,77.39237
A G Export Garments Nelamangala,35538,35538,A G Export Garments Nelamangala (Towards Nelamangala),13.12048,77.39242
A P J Abdul Kalam Statue,21652,21652,A P J Abdul Kalam Statue (Towards D R D O 2nd Stage),12.97972,77.65404
A P J Abdul Kalam Statue,21653,21653,A P J Abdul Kalam Statue (Towards BEML Factory),12.97977,77.65418
ADMC Quarters Office,38855,38855,ADMC Quarters Office (Towards Start Point),13.0053,77.64117
